EVENT,BOUT,WEIGHTCLASS,weight_class,title_type,is_womens,is_tournament
UFC 328: Chimaev vs. Strickland ,Khamzat Chimaev vs. Sean Strickland,UFC Middleweight Title Bout,middleweight,title,False,False
UFC 328: Chimaev vs. Strickland ,Joshua Van vs. Tatsuro Taira,UFC Flyweight Title Bout,flyweight,title,False,False
UFC 328: Chimaev vs. Strickland ,Alexander Volkov vs. Waldo Cortes Acosta,Heavyweight Bout,heavyweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Sean Brady vs. Joaquin Buckley,Welterweight Bout,welterweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,King Green vs. Jeremy Stephens,Lightweight Bout,lightweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Ateba Gautier vs. Ozzy Diaz,Middleweight Bout,middleweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Joel Alvarez vs. Yaroslav Amosov,Welterweight Bout,welterweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Grant Dawson vs. Mateusz Rebecki,Lightweight Bout,lightweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Jim Miller vs. Jared Gordon,Lightweight Bout,lightweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Roman Kopylov vs. Marco Tulio,Middleweight Bout,middleweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Pat Sabatini vs. William Gomis,Featherweight Bout,featherweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Baisangur Susurkaev vs. Djorden Santos,Middleweight Bout,middleweight,regular,False,False
UFC 328: Chimaev vs. Strickland ,Clayton Carpenter vs. Jose Ochoa,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Jack Della Maddalena vs. Carlos Prates,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Beneil Dariush vs. Quillan Salkilld,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Tim Elliott vs. Steve Erceg,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Marwan Rahiki vs. Ollie Schmid,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Shamil Gaziev vs. Brando Pericic,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Tai Tuivasa vs. Louie Sutherland,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Cam Rowston vs. Robert Bryczek,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Junior Tafa vs. Kevin Christian,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Jacob Malkoun vs. Gerald Meerschaert,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Colby Thicknesse vs. Vince Morales,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Ben Johnston vs. Wes Schultz,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Jonathan Micallef vs. Themba Gorimbo,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Della Maddalena vs. Prates ,Dom Mar Fan vs. Kody Steele,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Aljamain Sterling vs. Youssef Zalal,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Norma Dumont vs. Joselyne Edwards,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Sterling vs. Zalal ,Rafa Garcia vs. Alexander Hernandez,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Davey Grant vs. Adrian Luna Martinetti,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Montel Jackson vs. Raoni Barcelos,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Marcus Buchecha vs. Ryan Spann,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Rodolfo Vieira vs. Eric McConico,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Jackson McVey vs. Sedriques Dumas,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Mayra Bueno Silva vs. Michelle Montague,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Sterling vs. Zalal ,Jafel Filho vs. Cody Durden,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Francis Marshall vs. Lucas Brennan,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Max Griffin vs. Victor Valenzuela,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Sterling vs. Zalal ,Talita Alencar vs. Julia Polastri,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Burns vs. Malott ,Gilbert Burns vs. Mike Malott,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Kyler Phillips vs. Charles Jourdain,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Mandel Nallo vs. Jai Herbert,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Jasmine Jasudavicius vs. Karine Silva,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Burns vs. Malott ,Thiago Moises vs. Gauge Young,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Dennis Buzukja vs. Marcio Barbosa,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Julien Leblanc vs. Robert Valentin,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Tanner Boser vs. Gokhan Saricam,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Melissa Croden vs. Daria Zhelezniakova,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Burns vs. Malott ,JJ Aldrich vs. Jamey-Lyn Horth,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Burns vs. Malott ,John Castaneda vs. Mark Vologdin,Catch Weight Bout,catch_weight,regular,False,False
UFC Fight Night: Burns vs. Malott ,Jamie Siraj vs. John Yannis,Bantamweight Bout,bantamweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Jiri Prochazka vs. Carlos Ulberg,UFC Light Heavyweight Title Bout,light_heavyweight,title,False,False
UFC 327: Prochazka vs. Ulberg ,Azamat Murzakanov vs. Paulo Costa,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Curtis Blaydes vs. Josh Hokit,Heavyweight Bout,heavyweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Dominick Reyes vs. Johnny Walker,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Cub Swanson vs. Nate Landwehr,Featherweight Bout,featherweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Patricio Pitbull vs. Aaron Pico,Featherweight Bout,featherweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Kevin Holland vs. Randy Brown,Welterweight Bout,welterweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Mateusz Gamrot vs. Esteban Ribovics,Lightweight Bout,lightweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Tatiana Suarez vs. Loopy Godinez,Women's Strawweight Bout,strawweight,regular,True,False
UFC 327: Prochazka vs. Ulberg ,Chris Padilla vs. MarQuel Mederos,Lightweight Bout,lightweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Kelvin Gastelum vs. Vicente Luque,Middleweight Bout,middleweight,regular,False,False
UFC 327: Prochazka vs. Ulberg ,Charles Radtke vs. Francisco Prado,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Renato Moicano vs. Chris Duncan,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Virna Jandiroba vs. Tabatha Ricci,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Moicano vs. Duncan ,Abdul Rakhman Yakhyaev vs. Brendson Ribeiro,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Ethyn Ewing vs. Rafael Estevam,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Tommy McMillen vs. Manolo Zecchini,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Jose Delano vs. Robert Ruchala,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Guilherme Pat vs. Thomas Petersen,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Alessandro Costa vs. Stewart Nicoll,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Lando Vannata vs. Darrius Flowers,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Alice Pereira vs. Hailey Cowan,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Moicano vs. Duncan ,Azamat Bekoev vs. Tresean Gore,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Moicano vs. Duncan ,Dione Barbosa vs. Melissa Gatto,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Moicano vs. Duncan ,Kai Kamaka III vs. Dakota Hope,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Israel Adesanya vs. Joe Pyfer,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Alexa Grasso vs. Maycee Barber,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Adesanya vs. Pyfer ,Michael Chiesa vs. Niko Price,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Julian Erosa vs. Lerryan Douglas,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Mansur Abdul-Malik vs. Yousri Belgaroui,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Terrance McKinney vs. Kyle Nelson,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Ignacio Bahamondes vs. Tofiq Musayev,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Chase Hooper vs. Lance Gibson Jr.,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Marcin Tybura vs. Tyrell Fortune,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Casey O'Neill vs. Gabriella Fernandes,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Adesanya vs. Pyfer ,Navajo Stirling vs. Bruno Lopes,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Ricky Simon vs. Adrian Yanez,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Adesanya vs. Pyfer ,Alexia Thainara vs. Bruna Brasil,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Evloev vs. Murphy ,Movsar Evloev vs. Lerone Murphy,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Luke Riley vs. Michael Aswell Jr.,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Michael Page vs. Sam Patterson,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Iwo Baraniewski vs. Austen Lane,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Roman Dolidze vs. Christian Leroy Duncan,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Kurtis Campbell vs. Danny Silva,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Mason Jones vs. Axel Sola,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Nathaniel Wood vs. Losene Keita,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Mario Pinto vs. Felipe Franco,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Mantas Kondratavicius vs. Antonio Trocoli,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Louie Sutherland vs. Brando Pericic,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Shem Rock vs. Abdul-Kareem Al-Selwady,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Evloev vs. Murphy ,Shanelle Dyer vs. Ravena Oliveira,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Emmett vs. Vallejos ,Josh Emmett vs. Kevin Vallejos,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Amanda Lemos vs. Gillian Robertson,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Emmett vs. Vallejos ,Andre Fili vs. Jose Delgado,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Marwan Rahiki vs. Harry Hardwick,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Ion Cutelaba vs. Oumar Sy,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Charles Johnson vs. Bruno Silva,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Chris Curtis vs. Myktybek Orolbai,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Vitor Petrino vs. Steven Asplund,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Elijah Smith vs. SuYoung You,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Bolaji Oki vs. Manoel Sousa,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Brad Tavares vs. Eryk Anders,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Bia Mesquita vs. Montse Rendon,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Emmett vs. Vallejos ,Luan Lacerda vs. Hecher Sosa,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Emmett vs. Vallejos ,Piera Rodriguez vs. Sam Hughes,Women's Strawweight Bout,strawweight,regular,True,False
UFC 326: Holloway vs. Oliveira 2 ,Max Holloway vs. Charles Oliveira,Lightweight Bout,lightweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Caio Borralho vs. Reinier de Ridder,Middleweight Bout,middleweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Rob Font vs. Raul Rosas Jr.,Bantamweight Bout,bantamweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Drew Dober vs. Michael Johnson,Lightweight Bout,lightweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Gregory Rodrigues vs. Brunno Ferreira,Middleweight Bout,middleweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Cody Garbrandt vs. Xiao Long,Bantamweight Bout,bantamweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Donte Johnson vs. Cody Brundage,Middleweight Bout,middleweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Ricky Turcios vs. Alberto Montes,Featherweight Bout,featherweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Cody Durden vs. Nyamjargal Tumendemberel,Flyweight Bout,flyweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Sumudaerji vs. Jesus Aguilar,Flyweight Bout,flyweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Rafael Tobias vs. Diyar Nurgozhay,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 326: Holloway vs. Oliveira 2 ,Luke Fernandez vs. Rodolfo Bellato,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Brandon Moreno vs. Lone'er Kavanagh,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Marlon Vera vs. David Martinez,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Daniel Zellhuber vs. King Green,Lightweight Bout,lightweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Edgar Chairez vs. Felipe Bunes,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Imanol Rodriguez vs. Kevin Borjas,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Santiago Luna vs. Angel Pacheco,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Ryan Gandra vs. Jose Daniel Medina,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Ailin Perez vs. Macy Chiasson,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Moreno vs. Kavanagh ,Cristian Quinonez vs. Kris Moutinho,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Douglas Silva de Andrade vs. Javier Reyes,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Regina Tarin vs. Ernesta Kareckaite,Catch Weight Bout,catch_weight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Erik Silva vs. Francis Marshall,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Moreno vs. Kavanagh ,Damian Pinas vs. Wes Schultz,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Sean Strickland vs. Anthony Hernandez,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Geoff Neal vs. Uros Medic,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Dan Ige vs. Melquizael Costa,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Serghei Spivac vs. Ante Delija,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Jacobe Smith vs. Josiah Harrell,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Zach Reese vs. Michel Pereira,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Chidi Njokuani vs. Carlos Leal,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Ode Osbourne vs. Alibi Idiris,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Alden Coria vs. Luis Gurule,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Nora Cornolle vs. Joselyne Edwards,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Strickland vs. Hernandez ,Ramiz Brahimaj vs. Punahele Soriano,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Phil Rowe vs. Jean-Paul Lebosnoyani,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Jordan Leavitt vs. Yadier del Valle,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Strickland vs. Hernandez ,Juliana Miller vs. Carli Judice,Women's Flyweight Bout,flyweight,regular,True,False
UFC Fight Night: Bautista vs. Oliveira ,Mario Bautista vs. Vinicius Oliveira,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Amir Albazi vs. Kyoji Horiguchi,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Jailton Almeida vs. Rizvan Kuniev,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Michal Oleksiejczuk vs. Marc-Andre Barriault,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Jean Matsumoto vs. Farid Basharat,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Dustin Jacoby vs. Julius Walker,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Alex Morono vs. Daniil Donchenko,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Nikolay Veretennikov vs. Niko Price,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Bruna Brasil vs. Ketlen Souza,Women's Strawweight Bout,strawweight,regular,True,False
UFC Fight Night: Bautista vs. Oliveira ,Javid Basharat vs. Gianni Vazquez,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Wang Cong vs. Eduarda Moura,Catch Weight Bout,catch_weight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Muin Gafurov vs. Jakub Wiklacz,Bantamweight Bout,bantamweight,regular,False,False
UFC Fight Night: Bautista vs. Oliveira ,Klaudia Sygula vs. Priscila Cachoeira,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC 325: Volkanovski vs. Lopes 2 ,Alexander Volkanovski vs. Diego Lopes,UFC Featherweight Title Bout,featherweight,title,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Dan Hooker vs. Benoit Saint Denis,Lightweight Bout,lightweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Rafael Fiziev vs. Mauricio Ruffy,Lightweight Bout,lightweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Tai Tuivasa vs. Tallison Teixeira,Heavyweight Bout,heavyweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Quillan Salkilld vs. Jamie Mullarkey,Lightweight Bout,lightweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Junior Tafa vs. Billy Elekana,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Cam Rowston vs. Cody Brundage,Middleweight Bout,middleweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Jacob Malkoun vs. Torrez Finney,Middleweight Bout,middleweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Jonathan Micallef vs. Oban Elliott,Welterweight Bout,welterweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Kaan Ofli vs. Yizha,Featherweight Bout,featherweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Sangwook Kim vs. Dom Mar Fan,Lightweight Bout,lightweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Keiichiro Nakamura vs. Sebastian Szalay,Featherweight Bout,featherweight,regular,False,False
UFC 325: Volkanovski vs. Lopes 2 ,Sulangrangbo vs. Lawrence Lui,Bantamweight Bout,bantamweight,regular,False,False
UFC - Road to UFC 4.6 ,Shi Ming vs. Bruna Brasil,Women's Strawweight Bout,strawweight,regular,True,False
UFC - Road to UFC 4.6 ,Nyamjargal Tumendemberel vs. Terrance Saeteurn,Flyweight Bout,flyweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Justin Gaethje vs. Paddy Pimblett,UFC Interim Lightweight Title Bout,lightweight,interim,False,False
UFC 324: Gaethje vs. Pimblett ,Sean O'Malley vs. Song Yadong,Bantamweight Bout,bantamweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Waldo Cortes Acosta vs. Derrick Lewis,Heavyweight Bout,heavyweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Natalia Silva vs. Rose Namajunas,Women's Flyweight Bout,flyweight,regular,True,False
UFC 324: Gaethje vs. Pimblett ,Arnold Allen vs. Jean Silva,Featherweight Bout,featherweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Umar Nurmagomedov vs. Deiveson Figueiredo,Bantamweight Bout,bantamweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Ateba Gautier vs. Andrey Pulyaev,Middleweight Bout,middleweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Nikita Krylov vs. Modestas Bukauskas,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Alex Perez vs. Charles Johnson,Flyweight Bout,flyweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Josh Hokit vs. Denzel Freeman,Heavyweight Bout,heavyweight,regular,False,False
UFC 324: Gaethje vs. Pimblett ,Adam Fugitt vs. Ty Miller,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Brandon Royval vs. Manel Kape,Flyweight Bout,flyweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Giga Chikadze vs. Kevin Vallejos,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Cesar Almeida vs. Cezary Oleksiejczuk,Middleweight Bout,middleweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Melquizael Costa vs. Morgan Charriere,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Kennedy Nzechukwu vs. Marcus Buchecha,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,King Green vs. Lance Gibson Jr.,Catch Weight Bout,catch_weight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Neil Magny vs. Yaroslav Amosov,Welterweight Bout,welterweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Joanderson Brito vs. Isaac Thomson,Featherweight Bout,featherweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Sean Sharaf vs. Steven Asplund,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Melissa Croden vs. Luana Santos,Women's Bantamweight Bout,bantamweight,regular,True,False
UFC Fight Night: Royval vs. Kape ,Allen Frye Jr. vs. Guilherme Pat,Heavyweight Bout,heavyweight,regular,False,False
UFC Fight Night: Royval vs. Kape ,Jamey-Lyn Horth vs. Tereza Bleda,Women's Flyweight Bout,flyweight,regular,True,False
UFC 323: Dvalishvili vs. Yan 2 ,Merab Dvalishvili vs. Petr Yan,UFC Bantamweight Title Bout,bantamweight,title,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Alexandre Pantoja vs. Joshua Van,UFC Flyweight Title Bout,flyweight,title,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Brandon Moreno vs. Tatsuro Taira,Flyweight Bout,flyweight,regular,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Henry Cejudo vs. Payton Talbott,Bantamweight Bout,bantamweight,regular,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Jan Blachowicz vs. Bogdan Guskov,Light Heavyweight Bout,light_heavyweight,regular,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Grant Dawson vs. Manuel Torres,Lightweight Bout,lightweight,regular,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Terrance McKinney vs. Chris Duncan,Lightweight Bout,lightweight,regular,False,False
UFC 323: Dvalishvili vs. Yan 2 ,Maycee Barber vs. Karine Silva,Women's Flyweight Bout,flyweight,regular,True,False
