fight_id,fight_seq,event_date,bout_order,fighter_a_id,fighter_b_id,outcome,method,round_no,total_rounds,weight_class,bout_type,EVENT,BOUT,fighter_a,fighter_b,winner_id,loser_id,method_bucket,method_detail,time_seconds,bout_length_minutes,referee,details
ufc-328-chimaev-vs-strickland__khamzat-chimaev-vs-sean-strickland__1,1,2026-05-09,13,2523,3850,b_win,Decision,5,5,middleweight,title,UFC 328: Chimaev vs. Strickland,Khamzat Chimaev vs. Sean Strickland,Khamzat Chimaev,Sean Strickland,3850,2523,decision,Decision - Split ,300,25,Herb Dean,Sue Sanidad 48 - 47.Eric Colon 47 - 48.Sal D'amato 47 - 48.
ufc-328-chimaev-vs-strickland__joshua-van-vs-tatsuro-taira__1,1,2026-05-09,12,2290,4062,a_win,KO/TKO,5,5,flyweight,title,UFC 328: Chimaev vs. Strickland,Joshua Van vs. Tatsuro Taira,Joshua Van,Tatsuro Taira,2290,4062,ko_tko,KO/TKO ,92,25,Vitor Ribeiro,Punches to Head At Distance 
ufc-328-chimaev-vs-strickland__alexander-volkov-vs-waldo-cortes-acosta__1,1,2026-05-09,11,164,4321,a_win,Decision,3,3,heavyweight,non_title,UFC 328: Chimaev vs. Strickland,Alexander Volkov vs. Waldo Cortes Acosta,Alexander Volkov,Waldo Cortes Acosta,164,4321,decision,Decision - Unanimous ,300,15,Mike Beltran,Jon Bilyk 27 - 30.Henry Krawiec 28 - 29.Dave Tirelli 28 - 29.
ufc-328-chimaev-vs-strickland__sean-brady-vs-joaquin-buckley__1,1,2026-05-09,10,3832,2051,a_win,Decision,3,3,welterweight,non_title,UFC 328: Chimaev vs. Strickland,Sean Brady vs. Joaquin Buckley,Sean Brady,Joaquin Buckley,3832,2051,decision,Decision - Unanimous ,300,15,Keith Peterson,Eric Colon 25 - 30.Sal D'amato 25 - 30.Dave Tirelli 27 - 30.
ufc-328-chimaev-vs-strickland__king-green-vs-jeremy-stephens__1,1,2026-05-09,9,2536,1972,a_win,Submission,1,3,lightweight,non_title,UFC 328: Chimaev vs. Strickland,King Green vs. Jeremy Stephens,King Green,Jeremy Stephens,2536,1972,submission,Submission ,260,15,Gary Copeland,Rear Naked Choke 
ufc-328-chimaev-vs-strickland__ateba-gautier-vs-ozzy-diaz__1,1,2026-05-09,8,367,3312,a_win,KO/TKO,2,3,middleweight,non_title,UFC 328: Chimaev vs. Strickland,Ateba Gautier vs. Ozzy Diaz,Ateba Gautier,Ozzy Diaz,367,3312,ko_tko,KO/TKO ,70,15,Gary Copeland,Punch to Head At Distance 
ufc-328-chimaev-vs-strickland__joel-alvarez-vs-yaroslav-amosov__1,1,2026-05-09,7,2091,4392,b_win,Submission,2,3,welterweight,non_title,UFC 328: Chimaev vs. Strickland,Joel Alvarez vs. Yaroslav Amosov,Joel Alvarez,Yaroslav Amosov,4392,2091,submission,Submission ,73,15,Keith Peterson,Arm Triangle On Ground 
ufc-328-chimaev-vs-strickland__grant-dawson-vs-mateusz-rebecki__1,1,2026-05-09,6,1563,2938,a_win,Submission,3,3,lightweight,non_title,UFC 328: Chimaev vs. Strickland,Grant Dawson vs. Mateusz Rebecki,Grant Dawson,Mateusz Rebecki,1563,2938,submission,Submission ,282,15,Mike Beltran,Rear Naked Choke 
ufc-328-chimaev-vs-strickland__jim-miller-vs-jared-gordon__1,1,2026-05-09,5,2017,1872,a_win,Submission,1,3,lightweight,non_title,UFC 328: Chimaev vs. Strickland,Jim Miller vs. Jared Gordon,Jim Miller,Jared Gordon,2017,1872,submission,Submission ,209,15,Keith Peterson,Guillotine Choke From Bottom Guard 
ufc-328-chimaev-vs-strickland__roman-kopylov-vs-marco-tulio__1,1,2026-05-09,4,3655,2836,a_win,Decision,3,3,middleweight,non_title,UFC 328: Chimaev vs. Strickland,Roman Kopylov vs. Marco Tulio,Roman Kopylov,Marco Tulio,3655,2836,decision,Decision - Unanimous ,300,15,Gasper Oliver,Ricardo Almeida 28 - 29.Adrian Castro 28 - 29.Sue Sanidad 28 - 29.
ufc-328-chimaev-vs-strickland__pat-sabatini-vs-william-gomis__1,1,2026-05-09,3,3331,4356,a_win,Decision,3,3,featherweight,non_title,UFC 328: Chimaev vs. Strickland,Pat Sabatini vs. William Gomis,Pat Sabatini,William Gomis,3331,4356,decision,Decision - Unanimous ,300,15,Vincent Dudley,Eric Colon 28 - 29.Jon Bilyk 27 - 30.Henry Krawiec 27 - 30.
ufc-328-chimaev-vs-strickland__baisangur-susurkaev-vs-djorden-santos__1,1,2026-05-09,2,393,1166,a_win,Submission,3,3,middleweight,non_title,UFC 328: Chimaev vs. Strickland,Baisangur Susurkaev vs. Djorden Santos,Baisangur Susurkaev,Djorden Santos,393,1166,submission,Submission ,252,15,Gasper Oliver,Rear Naked Choke 
ufc-328-chimaev-vs-strickland__clayton-carpenter-vs-jose-ochoa__1,1,2026-05-09,1,837,2234,b_win,Decision,3,3,flyweight,non_title,UFC 328: Chimaev vs. Strickland,Clayton Carpenter vs. Jose Ochoa,Clayton Carpenter,Jose Ochoa,2234,837,decision,Decision - Unanimous ,300,15,Giovanna Scano,Ricardo Almeida 27 - 30.Jon Bilyk 27 - 30.Sue Sanidad 27 - 30.
ufc-fight-night-della-maddalena-vs-prates__jack-della-maddalena-vs-carlos-prates__1,1,2026-05-02,13,1778,656,b_win,KO/TKO,3,5,welterweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Jack Della Maddalena vs. Carlos Prates,Jack Della Maddalena,Carlos Prates,656,1778,ko_tko,KO/TKO ,197,25,Mike Beltran,Elbows to Body From Half Guard 
ufc-fight-night-della-maddalena-vs-prates__beneil-dariush-vs-quillan-salkilld__1,1,2026-05-02,12,424,3430,b_win,KO/TKO,1,3,lightweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Beneil Dariush vs. Quillan Salkilld,Beneil Dariush,Quillan Salkilld,3430,424,ko_tko,KO/TKO ,209,15,Rich Mitchell,Punches to Head On Ground 
ufc-fight-night-della-maddalena-vs-prates__tim-elliott-vs-steve-erceg__1,1,2026-05-02,11,4121,3981,b_win,Decision,3,3,flyweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Tim Elliott vs. Steve Erceg,Tim Elliott,Steve Erceg,3981,4121,decision,Decision - Unanimous ,300,15,Lukasz Bosacki,Mark Christie 28 - 29.Darryl Ransom 28 - 29.Clemens Werner 28 - 29.
ufc-fight-night-della-maddalena-vs-prates__marwan-rahiki-vs-ollie-schmid__1,1,2026-05-02,10,2919,3296,a_win,KO/TKO,1,3,featherweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Marwan Rahiki vs. Ollie Schmid,Marwan Rahiki,Ollie Schmid,2919,3296,ko_tko,KO/TKO ,167,15,Mike Beltran,Punch to Head At Distance 
ufc-fight-night-della-maddalena-vs-prates__shamil-gaziev-vs-brando-pericic__1,1,2026-05-02,9,3881,503,b_win,KO/TKO,2,3,heavyweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Shamil Gaziev vs. Brando Pericic,Shamil Gaziev,Brando Pericic,503,3881,ko_tko,KO/TKO ,224,15,Daniel Movahedi,Punch to Head At Distance 
ufc-fight-night-della-maddalena-vs-prates__tai-tuivasa-vs-louie-sutherland__1,1,2026-05-02,8,4032,2683,b_win,Decision,3,3,heavyweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Tai Tuivasa vs. Louie Sutherland,Tai Tuivasa,Louie Sutherland,2683,4032,decision,Decision - Unanimous ,300,15,Rich Mitchell,Evan Field 26 - 30.Nathan Pintabona 26 - 30.Clemens Werner 26 - 30.
ufc-fight-night-della-maddalena-vs-prates__cam-rowston-vs-robert-bryczek__1,1,2026-05-02,7,624,3604,a_win,Decision,3,3,middleweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Cam Rowston vs. Robert Bryczek,Cam Rowston,Robert Bryczek,624,3604,decision,Decision - Unanimous ,300,15,Lukasz Bosacki,Mark Christie 27 - 30.Mick Meany 27 - 30.Darryl Ransom 27 - 30.
ufc-fight-night-della-maddalena-vs-prates__junior-tafa-vs-kevin-christian__1,1,2026-05-02,6,2337,2497,a_win,KO/TKO,1,3,light_heavyweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Junior Tafa vs. Kevin Christian,Junior Tafa,Kevin Christian,2337,2497,ko_tko,KO/TKO ,162,15,Matt Wynne,Elbows to Head From Half Guard 
ufc-fight-night-della-maddalena-vs-prates__jacob-malkoun-vs-gerald-meerschaert__1,1,2026-05-02,5,1791,1520,a_win,Decision,3,3,middleweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Jacob Malkoun vs. Gerald Meerschaert,Jacob Malkoun,Gerald Meerschaert,1791,1520,decision,Decision - Unanimous ,300,15,Mike Beltran,Mark Christie 28 - 29.Evan Field 28 - 29.Mick Meany 28 - 29.
ufc-fight-night-della-maddalena-vs-prates__colby-thicknesse-vs-vince-morales__1,1,2026-05-02,4,862,4290,a_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Colby Thicknesse vs. Vince Morales,Colby Thicknesse,Vince Morales,862,4290,decision,Decision - Unanimous ,300,15,Daniel Movahedi,Sal D'amato 28 - 29.Nathan Pintabona 28 - 29.Darryl Ransom 28 - 29.
ufc-fight-night-della-maddalena-vs-prates__ben-johnston-vs-wes-schultz__1,1,2026-05-02,3,413,4342,b_win,Submission,3,3,middleweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Ben Johnston vs. Wes Schultz,Ben Johnston,Wes Schultz,4342,413,submission,Submission ,110,15,Rich Mitchell,Guillotine Choke From Bottom Guard 
ufc-fight-night-della-maddalena-vs-prates__jonathan-micallef-vs-themba-gorimbo__1,1,2026-05-02,2,2179,4094,a_win,Decision,3,3,welterweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Jonathan Micallef vs. Themba Gorimbo,Jonathan Micallef,Themba Gorimbo,2179,4094,decision,Decision - Split ,300,15,Lukasz Bosacki,Darryl Ransom 29 - 28.Mark Christie 28 - 29.Sal D'amato 28 - 29.
ufc-fight-night-della-maddalena-vs-prates__dom-mar-fan-vs-kody-steele__1,1,2026-05-02,1,1172,2547,b_win,Submission,1,3,lightweight,non_title,UFC Fight Night: Della Maddalena vs. Prates,Dom Mar Fan vs. Kody Steele,Dom Mar Fan,Kody Steele,2547,1172,submission,Submission ,236,15,Matt Wynne,Heel Hook On Ground 
ufc-fight-night-sterling-vs-zalal__aljamain-sterling-vs-youssef-zalal__1,1,2026-04-25,13,187,4426,a_win,Decision,5,5,featherweight,non_title,UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling vs. Youssef Zalal,Aljamain Sterling,Youssef Zalal,187,4426,decision,Decision - Unanimous ,300,25,Herb Dean,Mike Bell 45 - 49.Derek Cleary 45 - 49.Sal D'amato 45 - 49.
ufc-fight-night-sterling-vs-zalal__norma-dumont-vs-joselyne-edwards__1,1,2026-04-25,12,3281,2241,b_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Sterling vs. Zalal,Norma Dumont vs. Joselyne Edwards,Norma Dumont,Joselyne Edwards,2241,3281,decision,Decision - Unanimous ,300,15,Jason Herzog,Eric Colon 28 - 29.Ron McCarthy 28 - 29.Chris Lee 27 - 30.
ufc-fight-night-sterling-vs-zalal__rafa-garcia-vs-alexander-hernandez__1,1,2026-04-25,11,3437,154,a_win,Decision,3,3,lightweight,non_title,UFC Fight Night: Sterling vs. Zalal,Rafa Garcia vs. Alexander Hernandez,Rafa Garcia,Alexander Hernandez,3437,154,decision,Decision - Unanimous ,300,15,Kerry Hatley,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 27 - 30.
ufc-fight-night-sterling-vs-zalal__davey-grant-vs-adrian-luna-martinetti__1,1,2026-04-25,10,1055,62,a_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Sterling vs. Zalal,Davey Grant vs. Adrian Luna Martinetti,Davey Grant,Adrian Luna Martinetti,1055,62,decision,Decision - Unanimous ,300,15,Chris Tognoni,Mike Bell 28 - 29.Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.
ufc-fight-night-sterling-vs-zalal__montel-jackson-vs-raoni-barcelos__1,1,2026-04-25,9,3148,3483,b_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Sterling vs. Zalal,Montel Jackson vs. Raoni Barcelos,Montel Jackson,Raoni Barcelos,3483,3148,decision,Decision - Split ,300,15,Jason Herzog,Mike Bell 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 28 - 29.
ufc-fight-night-sterling-vs-zalal__marcus-buchecha-vs-ryan-spann__1,1,2026-04-25,8,2848,3742,b_win,KO/TKO,2,3,heavyweight,non_title,UFC Fight Night: Sterling vs. Zalal,Marcus Buchecha vs. Ryan Spann,Marcus Buchecha,Ryan Spann,3742,2848,ko_tko,KO/TKO ,130,15,Herb Dean,Punch to Head At Distance 
ufc-fight-night-sterling-vs-zalal__rodolfo-vieira-vs-eric-mcconico__1,1,2026-04-25,7,3625,1333,b_win,Decision,3,3,middleweight,non_title,UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira vs. Eric McConico,Rodolfo Vieira,Eric McConico,1333,3625,decision,Decision - Unanimous ,300,15,Kerry Hatley,Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.
ufc-fight-night-sterling-vs-zalal__jackson-mcvey-vs-sedriques-dumas__1,1,2026-04-25,6,1789,3854,a_win,Submission,1,3,middleweight,non_title,UFC Fight Night: Sterling vs. Zalal,Jackson McVey vs. Sedriques Dumas,Jackson McVey,Sedriques Dumas,1789,3854,submission,Submission ,134,15,Chris Tognoni,D'Arce Choke On Ground 
ufc-fight-night-sterling-vs-zalal__mayra-bueno-silva-vs-michelle-montague__1,1,2026-04-25,5,2996,3047,b_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Sterling vs. Zalal,Mayra Bueno Silva vs. Michelle Montague,Mayra Bueno Silva,Michelle Montague,3047,2996,decision,Decision - Unanimous ,300,15,Herb Dean,Adalaide Byrd 27 - 30.Derek Cleary 28 - 29.Eric Colon 28 - 29.
ufc-fight-night-sterling-vs-zalal__jafel-filho-vs-cody-durden__1,1,2026-04-25,4,1802,850,b_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Sterling vs. Zalal,Jafel Filho vs. Cody Durden,Jafel Filho,Cody Durden,850,1802,decision,Decision - Unanimous ,300,15,Jason Herzog,Mike Bell 27 - 30.Tony Weeks 27 - 30.Chris Lee 28 - 29.
ufc-fight-night-sterling-vs-zalal__francis-marshall-vs-lucas-brennan__1,1,2026-04-25,3,1434,2702,a_win,Decision,3,3,lightweight,non_title,UFC Fight Night: Sterling vs. Zalal,Francis Marshall vs. Lucas Brennan,Francis Marshall,Lucas Brennan,1434,2702,decision,Decision - Unanimous ,300,15,Kerry Hatley,Sal D'amato 27 - 30.Junichiro Kamijo 27 - 30.Mark Smith 27 - 30.
ufc-fight-night-sterling-vs-zalal__max-griffin-vs-victor-valenzuela__1,1,2026-04-25,2,2987,4282,b_win,Decision,3,3,welterweight,non_title,UFC Fight Night: Sterling vs. Zalal,Max Griffin vs. Victor Valenzuela,Max Griffin,Victor Valenzuela,4282,2987,decision,Decision - Unanimous ,300,15,Chris Tognoni,Adalaide Byrd 28 - 29.Eric Colon 28 - 29.Ron McCarthy 28 - 29.
ufc-fight-night-sterling-vs-zalal__talita-alencar-vs-julia-polastri__1,1,2026-04-25,1,4051,2312,a_win,Decision,3,3,strawweight,non_title,UFC Fight Night: Sterling vs. Zalal,Talita Alencar vs. Julia Polastri,Talita Alencar,Julia Polastri,4051,2312,decision,Decision - Unanimous ,300,15,Jason Herzog,Mike Bell 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.
ufc-fight-night-burns-vs-malott__gilbert-burns-vs-mike-malott__1,1,2026-04-18,12,1539,3087,b_win,KO/TKO,3,5,welterweight,non_title,UFC Fight Night: Burns vs. Malott,Gilbert Burns vs. Mike Malott,Gilbert Burns,Mike Malott,3087,1539,ko_tko,KO/TKO ,128,25,Herb Dean,Punches to Head On Ground 
ufc-fight-night-burns-vs-malott__kyler-phillips-vs-charles-jourdain__1,1,2026-04-18,11,2593,711,b_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Burns vs. Malott,Kyler Phillips vs. Charles Jourdain,Kyler Phillips,Charles Jourdain,711,2593,decision,Decision - Unanimous ,300,15,Jerin Valel,Junichiro Kamijo 28 - 29.Sal D'amato 28 - 29.Jason Rodgers 28 - 29.
ufc-fight-night-burns-vs-malott__mandel-nallo-vs-jai-herbert__1,1,2026-04-18,10,2793,1803,b_win,KO/TKO,1,3,lightweight,non_title,UFC Fight Night: Burns vs. Malott,Mandel Nallo vs. Jai Herbert,Mandel Nallo,Jai Herbert,1803,2793,ko_tko,KO/TKO ,125,15,Jason Herzog,Punches to Head On Ground 
ufc-fight-night-burns-vs-malott__jasmine-jasudavicius-vs-karine-silva__1,1,2026-04-18,9,1882,2407,a_win,Decision,3,3,flyweight,non_title,UFC Fight Night: Burns vs. Malott,Jasmine Jasudavicius vs. Karine Silva,Jasmine Jasudavicius,Karine Silva,1882,2407,decision,Decision - Unanimous ,300,15,Jerin Valel,Mike Bell 28 - 29.Jason Rodgers 28 - 29.Junichiro Kamijo 28 - 29.
ufc-fight-night-burns-vs-malott__thiago-moises-vs-gauge-young__1,1,2026-04-18,8,4098,1499,b_win,Decision,3,3,lightweight,non_title,UFC Fight Night: Burns vs. Malott,Thiago Moises vs. Gauge Young,Thiago Moises,Gauge Young,1499,4098,decision,Decision - Split ,300,15,Jason Herzog,Junichiro Kamijo 28 - 29.David Therien 29 - 28.Sal D'amato 28 - 29.
ufc-fight-night-burns-vs-malott__dennis-buzukja-vs-marcio-barbosa__1,1,2026-04-18,7,1112,2830,b_win,KO/TKO,1,3,featherweight,non_title,UFC Fight Night: Burns vs. Malott,Dennis Buzukja vs. Marcio Barbosa,Dennis Buzukja,Marcio Barbosa,2830,1112,ko_tko,KO/TKO ,80,15,Herb Dean,Punch to Head At Distance 
ufc-fight-night-burns-vs-malott__julien-leblanc-vs-robert-valentin__1,1,2026-04-18,6,2320,3612,b_win,Submission,1,3,middleweight,non_title,UFC Fight Night: Burns vs. Malott,Julien Leblanc vs. Robert Valentin,Julien Leblanc,Robert Valentin,3612,2320,submission,Submission ,142,15,Chris Desautels,Rear Naked Choke 
ufc-fight-night-burns-vs-malott__tanner-boser-vs-gokhan-saricam__1,1,2026-04-18,5,4058,1560,b_win,KO/TKO,2,3,heavyweight,non_title,UFC Fight Night: Burns vs. Malott,Tanner Boser vs. Gokhan Saricam,Tanner Boser,Gokhan Saricam,1560,4058,ko_tko,KO/TKO ,283,15,Herb Dean,Punch to Head At Distance 
ufc-fight-night-burns-vs-malott__melissa-croden-vs-daria-zhelezniakova__1,1,2026-04-18,4,3002,1021,a_win,Decision,3,3,bantamweight,non_title,UFC Fight Night: Burns vs. Malott,Melissa Croden vs. Daria Zhelezniakova,Melissa Croden,Daria Zhelezniakova,3002,1021,decision,Decision - Unanimous ,300,15,Jerin Valel,Greg Jackson 28 - 29.Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.
ufc-fight-night-burns-vs-malott__jj-aldrich-vs-jamey-lyn-horth__1,1,2026-04-18,3,1767,1853,a_win,Decision,3,3,flyweight,non_title,UFC Fight Night: Burns vs. Malott,JJ Aldrich vs. Jamey-Lyn Horth,JJ Aldrich,Jamey-Lyn Horth,1767,1853,decision,Decision - Unanimous ,300,15,Herb Dean,Greg Jackson 28 - 29.Junichiro Kamijo 28 - 29.Laura Baldwin 28 - 29.
ufc-fight-night-burns-vs-malott__john-castaneda-vs-mark-vologdin__1,1,2026-04-18,2,2109,2898,draw,Draw,3,3,catch_weight,non_title,UFC Fight Night: Burns vs. Malott,John Castaneda vs. Mark Vologdin,John Castaneda,Mark Vologdin,,,decision,Decision - Majority ,300,15,Jason Herzog,Laura Baldwin 27 - 29.Jason Rodgers 28 - 28.Mike Bell 28 - 28.
ufc-fight-night-burns-vs-malott__jamie-siraj-vs-john-yannis__1,1,2026-04-18,1,1859,2148,b_win,KO/TKO,1,3,bantamweight,non_title,UFC Fight Night: Burns vs. Malott,Jamie Siraj vs. John Yannis,Jamie Siraj,John Yannis,2148,1859,ko_tko,KO/TKO ,163,15,Chris Desautels,Elbows to Head From Half Guard 
ufc-327-prochazka-vs-ulberg__jiri-prochazka-vs-carlos-ulberg__1,1,2026-04-11,12,2038,657,b_win,KO/TKO,1,5,light_heavyweight,title,UFC 327: Prochazka vs. Ulberg,Jiri Prochazka vs. Carlos Ulberg,Jiri Prochazka,Carlos Ulberg,657,2038,ko_tko,KO/TKO ,225,25,Marc Goddard,Punch to Head At Distance 
ufc-327-prochazka-vs-ulberg__azamat-murzakanov-vs-paulo-costa__1,1,2026-04-11,11,384,3368,b_win,KO/TKO,3,3,light_heavyweight,non_title,UFC 327: Prochazka vs. Ulberg,Azamat Murzakanov vs. Paulo Costa,Azamat Murzakanov,Paulo Costa,3368,384,ko_tko,KO/TKO ,83,15,Keith Peterson,Kick to Head At Distance 
ufc-327-prochazka-vs-ulberg__curtis-blaydes-vs-josh-hokit__1,1,2026-04-11,10,912,2265,b_win,Decision,3,3,heavyweight,non_title,UFC 327: Prochazka vs. Ulberg,Curtis Blaydes vs. Josh Hokit,Curtis Blaydes,Josh Hokit,2265,912,decision,Decision - Unanimous ,300,15,Herb Dean,Jason Grenier 28 - 29.Junichiro Kamijo 28 - 29.Chris Lee 28 - 29.
ufc-327-prochazka-vs-ulberg__dominick-reyes-vs-johnny-walker__1,1,2026-04-11,9,1178,2158,a_win,Decision,3,3,light_heavyweight,non_title,UFC 327: Prochazka vs. Ulberg,Dominick Reyes vs. Johnny Walker,Dominick Reyes,Johnny Walker,1178,2158,decision,Decision - Split ,300,15,Kevin MacDonald,Sal D'amato 28 - 29.Solimar Miranda 29 - 28.Junichiro Kamijo 28 - 29.
ufc-327-prochazka-vs-ulberg__cub-swanson-vs-nate-landwehr__1,1,2026-04-11,8,909,3194,a_win,KO/TKO,1,3,featherweight,non_title,UFC 327: Prochazka vs. Ulberg,Cub Swanson vs. Nate Landwehr,Cub Swanson,Nate Landwehr,909,3194,ko_tko,KO/TKO ,246,15,Herb Dean,Punch to Head At Distance 
ufc-327-prochazka-vs-ulberg__patricio-pitbull-vs-aaron-pico__1,1,2026-04-11,7,3335,15,b_win,Decision,3,3,featherweight,non_title,UFC 327: Prochazka vs. Ulberg,Patricio Pitbull vs. Aaron Pico,Patricio Pitbull,Aaron Pico,15,3335,decision,Decision - Unanimous ,300,15,Keith Peterson,Chris Lee 27 - 30.Jason Grenier 27 - 30.Eliseo Rodriguez 28 - 29.
ufc-327-prochazka-vs-ulberg__kevin-holland-vs-randy-brown__1,1,2026-04-11,6,2503,3479,a_win,Decision,3,3,welterweight,non_title,UFC 327: Prochazka vs. Ulberg,Kevin Holland vs. Randy Brown,Kevin Holland,Randy Brown,2503,3479,decision,Decision - Unanimous ,300,15,Marc Goddard,Dave Tirelli 27 - 30.Chris Lee 27 - 30.Eliseo Rodriguez 27 - 30.
ufc-327-prochazka-vs-ulberg__mateusz-gamrot-vs-esteban-ribovics__1,1,2026-04-11,5,2937,1363,a_win,Submission,2,3,lightweight,non_title,UFC 327: Prochazka vs. Ulberg,Mateusz Gamrot vs. Esteban Ribovics,Mateusz Gamrot,Esteban Ribovics,2937,1363,submission,Submission ,259,15,Kevin MacDonald,Arm Triangle From Half Guard 
ufc-327-prochazka-vs-ulberg__tatiana-suarez-vs-loopy-godinez__1,1,2026-04-11,4,4061,2679,a_win,Submission,2,3,strawweight,non_title,UFC 327: Prochazka vs. Ulberg,Tatiana Suarez vs. Loopy Godinez,Tatiana Suarez,Loopy Godinez,4061,2679,submission,Submission ,149,15,Herb Dean,Rear Naked Choke 
ufc-327-prochazka-vs-ulberg__chris-padilla-vs-marquel-mederos__1,1,2026-04-11,3,789,2811,draw,Draw,3,3,lightweight,non_title,UFC 327: Prochazka vs. Ulberg,Chris Padilla vs. MarQuel Mederos,Chris Padilla,MarQuel Mederos,,,decision,Decision - Majority ,300,15,Keith Peterson,Solimar Miranda 27 - 29.Derek Cleary 28 - 28.Eliseo Rodriguez 28 - 28.
ufc-327-prochazka-vs-ulberg__kelvin-gastelum-vs-vicente-luque__1,1,2026-04-11,2,2465,4271,b_win,Submission,1,3,middleweight,non_title,UFC 327: Prochazka vs. Ulberg,Kelvin Gastelum vs. Vicente Luque,Kelvin Gastelum,Vicente Luque,4271,2465,submission,Submission ,248,15,Kevin MacDonald,Anaconda Choke On Ground 
ufc-327-prochazka-vs-ulberg__charles-radtke-vs-francisco-prado__1,1,2026-04-11,1,715,1439,a_win,Decision,3,3,welterweight,non_title,UFC 327: Prochazka vs. Ulberg,Charles Radtke vs. Francisco Prado,Charles Radtke,Francisco Prado,715,1439,decision,Decision - Unanimous ,300,15,Marc Goddard,Solimar Miranda 26 - 30.Jason Grenier 26 - 30.Dave Tirelli 26 - 30.
ufc-fight-night-moicano-vs-duncan__renato-moicano-vs-chris-duncan__1,1,2026-04-04,13,3524,765,a_win,Submission,2,5,lightweight,non_title,UFC Fight Night: Moicano vs. Duncan,Renato Moicano vs. Chris Duncan,Renato Moicano,Chris Duncan,3524,765,submission,Submission ,194,25,Herb Dean,Rear Naked Choke 
ufc-fight-night-moicano-vs-duncan__virna-jandiroba-vs-tabatha-ricci__1,1,2026-04-04,12,4301,4025,a_win,Decision,3,3,strawweight,non_title,UFC Fight Night: Moicano vs. Duncan,Virna Jandiroba vs. Tabatha Ricci,Virna Jandiroba,Tabatha Ricci,4301,4025,decision,Decision - Unanimous ,300,15,Keith Peterson,Sal D'amato 27 - 30.Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.
ufc-fight-night-moicano-vs-duncan__abdul-rakhman-yakhyaev-vs-brendson-ribeiro__1,1,2026-04-04,11,25,537,a_win,Submission,1,3,light_heavyweight,non_title,UFC Fight Night: Moicano vs. Duncan,Abdul Rakhman Yakhyaev vs. Brendson Ribeiro,Abdul Rakhman Yakhyaev,Brendson Ribeiro,25,537,submission,Submission ,172,15,Mike Beltran,Rear Naked Choke 
ufc-fight-night-moicano-vs-duncan__ethyn-ewing-vs-rafael-estevam__1,1,2026-04-04,10,1366,3446,a_win,KO/TKO,3,3,bantamweight,non_title,UFC Fight Night: Moicano vs. Duncan,Ethyn Ewing vs. Rafael Estevam,Ethyn Ewing,Rafael Estevam,1366,3446,ko_tko,KO/TKO ,104,15,Chris Tognoni,Punch to Body At Distance 
ufc-fight-night-moicano-vs-duncan__tommy-mcmillen-vs-manolo-zecchini__1,1,2026-04-04,9,4173,2801,a_win,KO/TKO,1,3,featherweight,non_title,UFC Fight Night: Moicano vs. Duncan,Tommy McMillen vs. Manolo Zecchini,Tommy McMillen,Manolo Zecchini,4173,2801,ko_tko,KO/TKO ,237,15,Herb Dean,Knee to Body In Clinch 
ufc-fight-night-moicano-vs-duncan__jose-delano-vs-robert-ruchala__1,1,2026-04-04,8,2227,3610,a_win,Decision,3,3,featherweight,non_title,UFC Fight Night: Moicano vs. Duncan,Jose Delano vs. Robert Ruchala,Jose Delano,Robert Ruchala,2227,3610,decision,Decision - Unanimous ,300,15,Keith Peterson,Chris Leben 26 - 30.Adalaide Byrd 27 - 29.Clemens Werner 27 - 29.
