name,fighter_id,match_type,score
Chris Price,790,exact,100
Chris Sanford,791,exact,100
Chris Saunders,792,exact,100
Chris Spang,794,exact,100
Chris Tickle,795,exact,100
Chris Tuchscherer,796,exact,100
Chris Wade,797,exact,100
Chris Weidman,798,exact,100
Chris Wilson,799,exact,100
Chris de la Rocha,802,exact,100
Christian Aguilera,803,exact,100
Christian Colombo,804,exact,100
Christian Leroy Duncan,805,exact,100
Christian Morecraft,807,exact,100
Christian Rodriguez,809,exact,100
Christian Wellisch,811,exact,100
Christina Marks,813,exact,100
Christophe Leninger,814,exact,100
Christos Giagos,817,exact,100
Chuck Liddell,819,exact,100
Chuck O'Neil,820,exact,100
Cindy Dandois,822,exact,100
Ciryl Gane,823,exact,100
Claude Patrick,824,exact,100
Claudia Gadelha,825,exact,100
Claudio Puelles,828,exact,100
Claudio Ribeiro,829,exact,100
Claudio Silva,830,exact,100
Clay Collard,832,exact,100
Clay Guida,834,exact,100
Clay Harvison,835,exact,100
Clayton Carpenter,837,exact,100
Clifford Starks,840,exact,100
Clint Hester,843,exact,100
Cody Brundage,845,exact,100
Cody Donovan,849,exact,100
Cody Durden,850,exact,100
Cody East,851,exact,100
Cody Garbrandt,853,exact,100
Cody Gibson,854,exact,100
Cody Haddon,855,exact,100
Cody McKenzie,857,exact,100
Cody Pfister,858,exact,100
Cody Stamann,860,exact,100
Colby Covington,861,exact,100
Colby Thicknesse,862,exact,100
Cole Escovedo,863,exact,100
Cole Miller,864,exact,100
Cole Smith,866,exact,100
Cole Williams,867,exact,100
Colin Fletcher,868,exact,100
Colin Robinson,869,exact,100
Collin Anglin,872,exact,100
Collin Hart,873,exact,100
Colton Smith,876,exact,100
Connor Matthews,877,exact,100
Conor McGregor,879,exact,100
Constantinos Philippou,880,exact,100
Corey Anderson,881,exact,100
Corey Hill,882,exact,100
Cortavious Romious,884,exact,100
Cortney Casey,886,exact,100
Cory Hendricks,888,exact,100
Cory McKenna,889,exact,100
Cory Sandhagen,891,exact,100
Cory Walmsley,892,exact,100
Court McGee,894,exact,100
Courtney Turner,896,exact,100
Crafton Wallace,897,exact,100
Craig White,900,exact,100
Cristian Quinonez,904,exact,100
Cristiane Justino,905,exact,100
Cristiano Marcello,906,exact,100
Cristina Stanciu,907,exact,100
Cub Swanson,909,exact,100
Cung Le,910,exact,100
Curt Warburton,911,exact,100
Curtis Blaydes,912,exact,100
Curtis Millender,913,exact,100
Curtis Stout,914,exact,100
Cynthia Calvillo,916,exact,100
Cyril Asker,917,exact,100
Cyrille Diabate,918,exact,100
Da Woon Jung,920,exact,100
Da'Mon Blackshear,921,exact,100
DaMarques Johnson,922,exact,100
Daichi Abe,926,exact,100
Daiju Takase,929,exact,100
Dakota Bush,933,exact,100
Dakota Hope,935,exact,100
Dalcha Lungiambula,936,exact,100
Dale Hartt,937,exact,100
Damacio Page,938,exact,100
Damian Grabowski,939,exact,100
Damian Pinas,940,exact,100
Damian Stasiak,941,exact,100
Damien Brown,942,exact,100
Damir Hadzovic,945,exact,100
Damir Ismagulov,946,exact,100
Damon Jackson,948,exact,100
Dan Argueta,951,exact,100
Dan Barrera,952,exact,100
Dan Bobish,953,exact,100
Dan Christison,955,exact,100
Dan Cramer,956,exact,100
Dan Evensen,957,exact,100
Dan Hardy,958,exact,100
Dan Henderson,959,exact,100
Dan Hooker,960,exact,100
Dan Ige,961,exact,100
Dan Lauzon,962,exact,100
Dan Miller,964,exact,100
Dan Moret,966,exact,100
Dan Severn,968,exact,100
Dan Stittgen,969,exact,100
Daniel Barez,972,exact,100
Daniel Cormier,973,exact,100
Daniel Frunza,974,exact,100
Daniel Jolly,977,exact,100
Daniel Kelly,978,exact,100
Daniel Lacerda,979,exact,100
Daniel Marcos,980,exact,100
Daniel Omielanczuk,982,exact,100
Daniel Pineda,984,exact,100
Daniel Roberts,986,exact,100
Daniel Rodriguez,987,exact,100
Daniel Santos,988,exact,100
Daniel Sarafian,989,exact,100
Daniel Spitz,991,exact,100
Daniel Spohn,992,exact,100
Daniel Teymur,995,exact,100
Daniel Zellhuber,997,exact,100
Danielle Taylor,998,exact,100
Daniil Donchenko,999,exact,100
Danillo Villefort,1000,exact,100
Danilo Belluardo,1001,exact,100
Danilo Marques,1002,exact,100
Danny Abbadi,1005,exact,100
Danny Barlow,1006,exact,100
Danny Castillo,1007,exact,100
Danny Chavez,1008,exact,100
Danny Downes,1010,exact,100
Danny Henry,1011,exact,100
Danny Martinez,1012,exact,100
Danny Mitchell,1013,exact,100
Danny Roberts,1015,exact,100
Danny Silva,1017,exact,100
Dante Rivera,1018,exact,100
Danyelle Wolf,1019,exact,100
Daria Zhelezniakova,1021,exact,100
Darian Weeks,1022,exact,100
Darko Stosic,1024,exact,100
Daron Cruickshank,1025,exact,100
Darrel Gholar,1026,exact,100
Darrell Horcher,1027,exact,100
Darrell Montague,1028,exact,100
Darren Elkins,1029,exact,100
Darren Stewart,1030,exact,100
Darren Till,1031,exact,100
Darren Uyenoyama,1032,exact,100
Darrick Minner,1033,exact,100
Darrill Schoonover,1034,exact,100
Darrius Flowers,1036,exact,100
Dashon Johnson,1039,exact,100
Dave Beneteau,1040,exact,100
Dave Berry,1041,exact,100
Dave Galera,1045,exact,100
Dave Herman,1046,exact,100
Dave Menne,1049,exact,100
Dave Strasser,1052,exact,100
Davey Grant,1055,exact,100
Davi Ramos,1057,exact,100
David Abbott,1058,exact,100
David Baron,1060,exact,100
David Bielkheden,1062,exact,100
David Branch,1064,exact,100
David Dodd,1065,exact,100
David Dvorak,1067,exact,100
David Heath,1070,exact,100
David Hood,1071,exact,100
David Kaplan,1073,exact,100
David Lee,1074,exact,100
David Levicki,1075,exact,100
David Loiseau,1076,exact,100
David Martinez,1078,exact,100
David Michaud,1080,exact,100
David Mitchell,1081,exact,100
David Onama,1082,exact,100
David Roberts,1084,exact,100
David Terrell,1086,exact,100
David Teymur,1087,exact,100
David Velasquez,1088,exact,100
David Zawada,1089,exact,100
DeAnna Bennett,1091,exact,100
Dean Barry,1093,exact,100
Dean Lister,1095,exact,100
Deiveson Figueiredo,1096,exact,100
Delson Heleno,1099,exact,100
Demetrious Johnson,1101,exact,100
Demian Maia,1103,exact,100
Denis Kang,1105,exact,100
Denis Stojnic,1107,exact,100
Denis Tiuliulin,1108,exact,100
Denise Gomes,1109,exact,100
Dennis Bermudez,1110,exact,100
Dennis Buzukja,1112,exact,100
Dennis Hallman,1114,exact,100
Dennis Siver,1117,exact,100
Denys Bondar,1118,exact,100
Denzel Freeman,1119,exact,100
Dequan Townsend,1120,exact,100
Derek Brunson,1123,exact,100
Derek Downey,1125,exact,100
Deron Winn,1127,exact,100
Derrick Krantz,1129,exact,100
Derrick Lewis,1130,exact,100
Derrick Noble,1132,exact,100
Desmond Green,1134,exact,100
Devin Clark,1136,exact,100
Devin Powell,1139,exact,100
Devonte Smith,1141,exact,100
Dhiego Lima,1144,exact,100
Diana Belbita,1145,exact,100
Diego Brandao,1146,exact,100
Diego Ferreira,1147,exact,100
Diego Lopes,1149,exact,100
Diego Nunes,1150,exact,100
Diego Rivas,1151,exact,100
Diego Sanchez,1152,exact,100
Diego Saraiva,1153,exact,100
Dieusel Berto,1154,exact,100
Dileno Lopes,1155,exact,100
Din Thomas,1158,exact,100
Dione Barbosa,1163,exact,100
Diyar Nurgozhay,1164,exact,100
Djorden Santos,1166,exact,100
Dmitri Stepanov,1167,exact,100
Dmitrii Smoliakov,1168,exact,100
